"image_id","split","class","mean_intensity","variance","skewness","kurtosis","energy","entropy","contrast","correlation","glcm_energy","homogeneity","dissimilarity","tumor_area","aspect_ratio","perimeter","extraction_error"
"image_00059","train","glioma_tumor",-1.20255589752167e-15,0.999999999999983,2.94638940887473,11.0717767184804,9862.99999999983,4.65311670334613,11.7705442955965,0.603233162669566,0.0390221599484768,0.580597182420645,1.6699527037585,9864,1.01694915254237,1676,NA
"image_00060","train","glioma_tumor",-1.01064517487845e-15,1,3.10105887305186,12.100503419557,9991.00000000004,4.60084883651293,11.8532867872689,0.580060502264099,0.0440752088867472,0.581593805396112,1.6476650533857,9992,1.00854700854701,1633,NA
"image_00061","train","glioma_tumor",6.14609268141655e-16,1,3.1575916387581,12.053578041373,9579.00000000004,4.4985146477134,14.0740747739448,0.58308281207022,0.0487936925431334,0.604960748276111,1.68418627013012,9580,1.01724137931034,1652,NA
"image_00062","train","glioma_tumor",-1.53005105514564e-15,1.00000000000001,2.64985878071952,9.10634628479907,9316.00000000006,4.69720799561308,15.2396742567633,0.606209952771641,0.0357108689392001,0.590245863388894,1.8238640677839,9317,1.02631578947368,1594,NA
"image_00063","train","glioma_tumor",3.61779240243347e-16,0.999999999999999,0.948343316383821,0.398828929879916,5772,5.11877091372126,14.8241037231683,0.755229012607785,0.00749369627777911,0.390093599214179,2.55541506179353,5773,1.12222222222222,1181,NA
"image_00064","train","glioma_tumor",-1.05221268584257e-16,0.999999999999995,1.14191202227407,0.897563976412091,6084.99999999997,5.04624955739824,19.5718437428201,0.742431958478237,0.00678411341871606,0.36104235711385,2.91030011825875,6086,1.1304347826087,1386,NA
"image_00065","train","glioma_tumor",4.05189935279924e-16,0.999999999999985,1.37148622407901,1.60171904398769,6825.99999999989,4.99660012253056,18.2744671961157,0.744349782577599,0.00894172204027372,0.395461983454629,2.6960181441537,6827,1.11458333333333,1392,NA
"image_00066","train","glioma_tumor",3.92150748628844e-16,1.00000000000001,1.55833222891768,2.09694571133385,8669.00000000007,4.85240930206547,16.6369366824012,0.751586137534977,0.0214335379794974,0.505482921624886,2.31665021238914,8670,1.17142857142857,1878,NA
"image_00067","train","glioma_tumor",2.90671091866035e-16,1.00000000000002,1.76818956081349,3.10445045046668,9573.00000000014,4.81971126825459,10.7896430766148,0.763788878946218,0.0273393119038506,0.552761600799446,1.79686246613785,9574,1.12612612612613,2078,NA
"image_00068","train","glioma_tumor",-1.22065100980632e-16,1.00000000000001,1.85548559494459,3.55796418178592,5790.00000000006,4.8581502413573,19.0158362874081,0.634969003015055,0.0151517898103283,0.438499990812815,2.53616035050197,5791,1.16470588235294,1208,NA
"image_00069","train","glioma_tumor",1.7509254492981e-16,0.999999999999987,1.87422508940697,3.68046845377566,9480.99999999988,4.784107794998,12.0102586002478,0.725598125675305,0.0285667830023476,0.527311223738567,1.94161466172002,9482,1.13636363636364,2096,NA
"image_00070","train","glioma_tumor",-1.04771882981627e-15,0.999999999999963,1.90793151139871,4.0409521727617,8968.99999999966,4.76877991650044,12.7104719456113,0.729177835330165,0.0283133461863376,0.542952403981942,1.92914861313534,8970,1.13636363636364,2077,NA
"image_00071","train","glioma_tumor",-5.52232543515488e-16,1.00000000000001,1.51809723838113,2.50868386940859,6709.00000000004,4.95605328091611,15.9191656100944,0.704737900633449,0.0161911316626744,0.454291131934626,2.42671912008047,6710,1.16129032258065,1042,NA
"image_00072","train","glioma_tumor",-1.0006715521176e-16,1,1.97579573228017,4.30901106242982,8755.00000000003,4.73506632267574,12.1177623494785,0.752653622503619,0.033816256129719,0.545786293595542,1.90321535856316,8756,1.13636363636364,2098,NA
"image_00073","train","glioma_tumor",5.62967004792439e-16,1.00000000000001,1.63342141981393,2.58272370750548,7433.00000000005,4.82819705943165,15.1578325909979,0.716489533553465,0.0200019433284708,0.473746303812925,2.3075054585607,7434,1.11111111111111,2139,NA
"image_00074","train","glioma_tumor",2.46904992979632e-17,1.00000000000001,1.68322553330491,2.8980876785118,7841.00000000007,4.82908069443238,16.5202228091968,0.718341302258368,0.0177116980170112,0.468809454690214,2.4044197414921,7842,0.975806451612903,2055,NA
"image_00075","train","glioma_tumor",-1.73742694113417e-16,0.999999999999999,1.56397779144406,2.56808336076417,6158.99999999999,4.83569893315378,16.8673304477579,0.621527585849103,0.0178303501245174,0.419030245826122,2.5846480535234,6160,0.96,2555,NA
"image_00076","train","glioma_tumor",6.3952368551961e-17,1.00000000000001,1.91620427469394,4.023737698171,8068.00000000011,4.78685606770406,13.5898114753714,0.684295545596928,0.0244361447771656,0.485963789944984,2.17399305054899,8069,0.976,2033,NA
"image_00077","train","glioma_tumor",2.37660601922438e-16,0.999999999999981,1.8163475358397,3.39156633153804,7463.99999999986,4.77064013558909,18.6728158843875,0.697727992216774,0.0183781301239073,0.463214624917566,2.51424265805042,7465,1.12962962962963,2214,NA
"image_00078","train","glioma_tumor",5.89600734727333e-16,1.00000000000003,1.77030100397775,2.79568837027874,7200.00000000018,4.76124345635479,16.7812539027279,0.773978952844317,0.0181652252640545,0.478543720968097,2.33530695719563,7201,1.09009009009009,1954,NA
"image_00079","train","glioma_tumor",1.42868068676217e-16,0.999999999999996,1.91507246717256,4.03745146839704,5576.99999999998,4.84993139968136,18.03856770626,0.574193091908049,0.0198580642887283,0.46989819630736,2.39465885809109,5578,1.18072289156627,1255,NA
"image_00080","train","glioma_tumor",1.53190807113399e-15,1.00000000000003,1.75587384536096,2.7670563208071,7115.0000000002,4.72239998985964,12.1591622160997,0.769300148882819,0.027843389522163,0.510343251812784,2.00775080521724,7116,1.11926605504587,1992,NA
"image_00081","train","glioma_tumor",1.11725611165898e-16,1.00000000000001,1.64725668136985,2.28826554885223,6629.00000000005,4.65863395849765,17.4645166952531,0.760614642895299,0.024128131985481,0.490520285816239,2.37288037378441,6630,1.12962962962963,2050,NA
"image_00082","train","glioma_tumor",1.0745510203986e-15,1,1.84954309483102,3.07223937888358,6927,4.668617840348,16.3871459566503,0.783208076148582,0.0232097050078363,0.499582514747417,2.26330751361862,6928,1.12962962962963,1892,NA
"image_00083","train","glioma_tumor",-9.54097911787244e-17,1,1.78739542136489,2.7923745845358,6591,4.66817804700766,17.6708973376517,0.779137657474371,0.0246048864428858,0.504012472013935,2.32664217416237,6592,1.13084112149533,1746,NA
